"playerName","avg_Score","avg_puttsSG","avg_driveSG","Tournaments_Played"
"Aaron Baddeley",70.574,0.583,-0.5315,2
"Aaron Cockerill",69.716,1.136,-0.238,1
"Aaron Rai",70.4671818181818,0.125090909090909,0.100090909090909,12
"Aaron Wise",69.8737777777778,-0.0436666666666667,0.495777777777778,9
"Abraham Ancer",70.3533333333333,0.163,0.5635,6
"Adam Hadwin",69.7394,0.2793,0.1608,10
"Adam Long",70.4011,0.5332,0.1691,10
"Adam Schenk",70.7906666666667,0.138666666666667,-0.0288333333333333,6
"Adam Scott",70.43,0.418285714285714,0.0975714285714286,7
"Adam Svensson",70.6416666666667,0.08375,-0.00616666666666665,12
"Adri Arnaus",68.422,-0.653,1.213,1
"Alex Noren",69.8714285714286,0.482,0.135142857142857,7
"Alex Smalley",70.1804444444444,-0.243333333333333,0.520777777777778,9
"Andrew Kozan",69.198,-0.404,0.253,1
"Andrew Novak",71.0034,0.0768,-0.2232,5
"Andrew Putnam",69.7291111111111,0.492222222222222,-0.230222222222222,9
"Anirban Lahiri",70.963625,-0.029,0.530875,8
"Austin Cook",69.9938,0.1676,0.0722,5
"Austin Eckroat",72.273,-0.095,-0.011,1
"Austin Greaser",71.653,-0.318,-0.009,1
"Austin Smotherman",70.5013333333333,0.410166666666667,0.4475,6
"Beau Hossler",69.9605,1.0109,0.0792,10
"Ben Crane",70.716,1.017,-0.446,1
"Ben Griffin",67.402,0.889,-0.035,1
"Ben Kohles",70.86,0.5435,0.2385,2
"Ben Martin",71.3603333333333,0.052,0.167,3
"Ben Silverman",69.653,-0.034,0.174,1
"Bernd Wiesberger",68.422,-0.155,0.266,1
"Bill Haas",70.5894285714286,0.641285714285714,-0.255571428571429,8
"Billy Horschel",68.97075,0.811375,0.43575,8
"Blake McShea",70.902,0.068,-0.393,1
"Bo Hoag",69.368,0.549,-0.0255,2
"Bo Van Pelt",70.212,-0.0365,-0.383,2
"Branden Grace",71.04875,0.018,0.1325,4
"Brandon Hagy",71.4,-0.195,-0.3915,3
"Brandon Matthews",71.403,-0.397,0.568,1
"Brandon Wu",70.901,-0.00350000000000005,0.3135,4
"Brandt Snedeker",70.7988,0.1192,-0.1316,5
"Brendan Steele",69.7746666666667,-0.567333333333333,1.082,6
"Brendon Todd",69.5688,0.9758,-0.0765,10
"Brett Drewitt",69.9386666666667,0.00300000000000002,-0.846666666666667,3
"Brian Gay",70.1245,1.1565,-0.717,2
"Brian Harman",69.6965555555556,0.251777777777778,0.336666666666667,10
"Brian Stuard",70.6681666666667,-0.284666666666667,-0.1855,6
"Brice Garnett",71.5385,0.20625,-0.211,4
"Bronson Burgoon",71.6743333333333,0.258333333333333,-0.686333333333333,3
"Brooks Koepka",69.199,0.72675,0.56875,4
"Bryson DeChambeau",70.653,-0.176,0.515,1
"Bubba Watson",70.283,-0.151333333333333,0.419666666666667,3
"C.T. Pan",70.700125,-0.195375,-0.114375,8
"Callum Tarren",69.3608,0.5722,0.166,5
"Cam Davis",69.8955,0.25275,0.209,8
"Cameron Champ",71.7195,-0.38625,0.55175,4
"Cameron Percy",69.184,-0.829,0.3535,2
"Cameron Smith",69.2606,0.4762,-0.5264,5
"Cameron Tringale",69.4556666666667,0.587,0.164333333333333,6
"Cameron Young",69.5176666666667,0.159666666666667,0.970333333333333,9
"Camilo Villegas",71.797,-0.7536,-0.0844,5
"Carlos Ortiz",71.219,0.334666666666667,-0.0401666666666667,6
"Chad Ramey",70.835,0.49625,-0.406,4
"Chan Kim",73.651,-1.396,0.192,1
"Charl Schwartzel",70.1466666666667,0.308,0.278666666666667,3
"Charles Howell III",69.8881666666667,-0.212666666666667,0.451333333333333,6
"Charley Hoffman",71.1758,-0.2668,0.1326,5
"Chase Seiffert",68.832,-0.398,0.612,2
"Chesson Hadley",70.179,0.981166666666667,-0.526,6
"Chez Reavie",70.5573333333333,-0.171666666666667,0.0971666666666667,6
"Chris Gotterup",69.0105,-0.3855,0.713,4
"Chris Kirk",69.0195,0.301875,0.526375,8
"Chris Naegel",69.9935,-0.0845,0.4775,2
"Chris Stroud",70.68,0.243,0.048,2
"Christiaan Bezuidenhout",69.799,0.971444444444444,0.137666666666667,9
"Collin Morikawa",68.6728,0.138,0.2506,5
"Conrad Shindler",70.31,0.182,0.407,2
"Corey Conners",69.626875,0.070875,0.705875,8
"Curtis Thompson",71.04125,0.27725,0.3505,4
"Daniel Berger",69.1661666666667,0.6525,0.281,6
"Danny Lee",69.6645,0.4275,0.0865,4
"Danny Willett",70.29225,0.31,-0.05425,4
"David Lingmerth",70.902,0.6315,-0.42,2
"David Lipsky",70.3277,0.5512,-0.0967,10
"David Skinns",71.28725,0.78875,-0.94775,4
"Davis Riley",69.8537272727273,-0.244090909090909,0.109181818181818,11
"Davis Thompson",71.704,-0.599,0.458,1
"Dawie van der Walt",72.5915,-0.4725,-0.3765,2
"Denny McCarthy",69.7786666666667,1.00483333333333,-0.219166666666667,12
"Derek Ernst",70.584,-0.097,1.025,1
"Doc Redman",70.798,0.298571428571429,-0.175285714285714,7
"Doug Ghim",70.5957142857143,-0.291428571428571,0.187,7
"Dustin Johnson",70.21775,-0.14475,0.6305,4
"Dylan Frittelli",70.6030909090909,0.227090909090909,-0.198090909090909,11
"Dylan Wu",70.2833333333333,0.573666666666667,-0.348,3
"Emiliano Grillo",70.2737142857143,0.0831428571428572,0.698285714285714,7
"Erik van Rooyen",69.855,0.266333333333333,0.139,3
"Fabián Gómez",70.334,-0.611,0.527,1
"Francesco Molinari",70.634625,0.5,-0.202,8
"Garrick Higgo",70.0406666666667,0.182333333333333,0.187666666666667,3
"Gary Woodland",69.0646666666667,0.779666666666667,0.190833333333333,6
"Graeme McDowell",70.48,0.52,-0.231,3
"Grayson Murray",71.903,-0.56,0.669,2
"Greyson Sigg",71.0278333333333,-0.0486666666666667,-0.2025,6
"Guido Migliozzi",67.903,1.54,-0.136,1
"Hank Lebioda",70.9391428571429,0.0638571428571429,-0.164428571428571,7
"Harold Varner III",69.2227142857143,-0.0824285714285714,0.07,7
"Harris English",70.028,0.00600000000000001,-0.5145,2
"Harry Higgs",71.2918333333333,0.0351666666666667,-0.4795,6
"Hayden Buckley",70.6205,-0.1765,0.6435,6
"Henrik Norlander",70.8796666666667,-0.152,0.203666666666667,3
"Henrik Stenson",70.8075,-0.3085,0.134,2
"Hideki Matsuyama",69.4608571428571,0.178571428571429,0.258285714285714,7
"Hudson Swafford",70.58075,0.62,-0.0645,4
"Ian Poulter",70.617,0.802666666666667,-0.334833333333333,6
"J.J. Henry",70.216,1.465,-1.355,1
"J.J. Spaun",70.4997142857143,0.636428571428571,0.337,7
"J.T. Poston",69.2373333333333,0.575666666666667,0.388111111111111,9
"James Hahn",71.1754,-0.3184,0.5436,5
"Jared Wolfe",70.839,0.1635,-0.04125,4
"Jason Day",70.5358333333333,0.581833333333333,-0.101833333333333,6
"Jason Dufner",71.1625,-0.1045,-0.784,2
"Jason Kokrak",70.648,0.325714285714286,0.220857142857143,7
"Jhonattan Vegas",70.829,-0.422857142857143,0.467,7
"Jim Herman",72.5575,-0.8175,-0.0055,2
"Jim Knous",68.466,0.861,0.534,1
"Jimmy Walker",71.3456666666667,0.140333333333333,0.211666666666667,3
"Joaquin Niemann",69.231875,0.285625,0.787375,8
"Joel Dahmen",70.6143,-0.1607,0.0984,10
"John Huh",68.5685,0.328666666666667,0.350666666666667,6
"John Pak",71.954,0.486,-0.525,1
"Johnson Wagner",71.475,-1.719,-0.647,1
"Jon Rahm",69.7776666666667,0.121333333333333,1.14855555555556,9
"Jonas Blixt",70.0256666666667,1.41633333333333,0.251666666666667,3
"Jonathan Byrd",70.81125,0.19775,-0.52625,4
"Jordan Spieth",69.4527,-0.1313,0.5644,10
"Joseph Bramlett",70.752375,-0.883625,0.60025,8
"Joshua Creel",70.698,1.088,0.16,1
"Justin Harding",70.672,0.042,-0.711,1
"Justin Lower",70.0734,0.3898,-0.3578,5
"Justin Rose",69.318,0.586,0.0424285714285714,7
"Justin Thomas",68.7714444444444,0.332444444444444,0.519888888888889,9
"K.H. Lee",70.2383333333333,0.311166666666667,0.17075,12
"Keegan Bradley",69.8781,-0.0609,0.3836,10
"Keith Mitchell",69.6225454545454,0.291818181818182,0.915090909090909,11
"Kelly Kraft",69.466,0.7224,0.5698,5
"Kevin Chappell",71.27975,-0.2905,0.12275,4
"Kevin Kisner",69.11,1.66066666666667,-0.269666666666667,3
"Kevin Na",68.617,0.598333333333333,-0.854,3
"Kevin Streelman",69.8102857142857,0.220285714285714,0.400714285714286,7
"Kevin Tway",70.6506,0.13,0.1366,5
"Kiradech Aphibarnrat",70.6845,0.56,0.336,2
"Kramer Hickok",71.1717142857143,-0.635285714285714,0.384857142857143,7
"Kurt Kitayama",68.163,0.47,0.3405,2
"Kyle Wilshire",73.467,-0.546,-0.018,1
"Lanto Griffin",70.887,0.362222222222222,-0.0131111111111111,9
"Laurie Canter",69.172,0.649,0.046,1
"Lee Hodges",69.9311111111111,0.149,0.147666666666667,9
"Lee Westwood",71.076,-0.576,0.756,2
"Louis Oosthuizen",69.82425,0.45875,0.4985,4
"Lucas Glover",70.7255454545455,-0.429181818181818,0.153454545454545,11
"Lucas Herbert",70.4618,1.0772,-0.3386,5
"Luke Donald",70.5871666666667,0.239166666666667,-0.751,6
"Luke List",70.0957142857143,-0.294428571428571,0.611714285714286,7
"MJ Daffue",68.903,0.732,0.687,1
"Mackenzie Hughes",69.5131666666667,0.990333333333333,-0.208,6
"Marc Leishman",70.1171666666667,0.421666666666667,0.00316666666666665,6
"Mark Baldwin",70.975,0.524,-0.125,1
"Mark Hubbard",69.734125,0.301,-0.18175,8
"Martin Contini",68.698,1.047,-0.014,1
"Martin Laird",70.2784444444444,-0.240888888888889,0.228555555555556,9
"Martin Trainer",70.925,0.944714285714286,-0.408571428571429,7
"Matt Fitzpatrick",67.931,0.873,0.624666666666667,6
"Matt Jones",70.1558,-0.3936,0.1516,5
"Matt Kuchar",70.0025,0.997666666666667,-0.291,6
"Matt Wallace",69.3095,0.4565,-0.368,2
"Matthew NeSmith",70.0378,0.0503,0.1901,11
"Matthew Wolff",71.318,0.754,-0.11,3
"Matthias Schwab",70.265,0.65725,-0.34125,8
"Maverick McNealy",70.6829,0.6175,0.2342,10
"Max Homa",69.293125,0.16425,0.467625,8
"Max McGreevy",70.5823333333333,0.129666666666667,-0.0326666666666667,3
"Michael Gligic",71.0301666666667,0.126333333333333,0.135666666666667,6
"Michael Thompson",70.6296,0.382,-0.2854,5
"Michael Thorbjornsen",66.903,2.399,1.139,1
"Min Woo Lee",68.653,0.405,0.702,1
"Mito Pereira",69.4097777777778,0.0616666666666667,0.605111111111111,9
"Morgan Hoffmann",70.8685,-0.9285,0.0895,2
"Nate Lashley",70.0005,-0.15825,0.3375,4
"Nick Hardy",69.3058,0.4494,0.6666,5
"Nick Taylor",70.196625,-0.024125,0.095625,8
"Nick Watney",70.979,0.42775,-0.44575,5
"Omar Uresti",72.334,-0.553,-0.985,1
"Padraig Harrington",71.704,-0.469,0.572,1
"Pat Perez",70.2977777777778,0.694555555555556,-0.342555555555556,9
"Patrick Cantlay",68.7855,0.718875,0.652625,8
"Patrick Flavin",68.834,2.342,0.149,1
"Patrick Reed",70.47,0.469,-0.558,7
"Patrick Rodgers",70.1958181818182,0.521363636363636,-0.0264545454545455,11
"Patton Kizzire",70.6591,0.1627,-0.2498,10
"Paul Barjon",70.38025,0.10875,0.98025,4
"Paul Casey",70.5726666666667,-0.038,-0.228666666666667,3
"Peter Malnati",70.5966363636364,0.659181818181818,-0.285909090909091,11
"Peter Uihlein",71.743,-0.215666666666667,-0.367333333333333,3
"Preston Stanley",70.584,-0.494,0.427,1
"Rafa Cabrera Bello",71.059,-0.281,0.255,2
"Rasmus Hojgaard",70.564,1.927,-0.127,1
"Richard Bland",70.1085,0.344,-0.0725,2
"Richy Werenski",69.983,1.387,-0.5545,2
"Rick Lamb",69.198,0.602,0.31,1
"Rickie Fowler",70.6605,-0.2355,0.00566666666666667,6
"Ricky Barnes",72.584,0.206,-1.337,1
"Rikuya Hoshino",69.922,0.894,-0.327,1
"Robert Garrigus",69.818,-1.069,-0.922,1
"Robert MacIntyre",70.8653333333333,-0.101333333333333,0.0453333333333333,3
"Robert Streb",70.2641666666667,0.0605,-0.0845,6
"Roger Sloan",70.684,0.055,0.11725,4
"Rory McIlroy",68.507875,0.534875,0.79875,8
"Rory Sabbatini",70.7712857142857,0.280714285714286,-0.274,7
"Russell Henley",69.7964285714286,0.00514285714285714,-0.142285714285714,7
"Russell Knox",69.987125,-0.114375,0.19975,8
"Ryan Armour",69.2813333333333,0.85,0.432666666666667,3
"Ryan Fox",69.422,-0.167,0.03,1
"Ryan Moore",70.6806666666667,0.105166666666667,-0.1825,6
"Ryan Palmer",70.1844,0.087,0.546,5
"S.Y. Noh",71.3098333333333,0.405,-0.995,6
"Sahith Theegala",70.4330833333333,0.0635833333333333,0.118333333333333,13
"Sam Bennett",69.903,-0.365,0.166,1
"Sam Burns",68.3378333333333,1.20416666666667,0.107833333333333,6
"Sam Ryder",70.3612222222222,0.544555555555556,-0.222777777777778,9
"Sam Stevens",69.9255,0.031,-0.1365,2
"Satoshi Kodaira",69.8203333333333,0.832333333333333,0.211,3
"Scott Brown",69.152,1.88,-0.315,1
"Scott Gutschewski",70.564,0.849,-0.41,1
"Scott Piercy",70.3252,0.8686,-0.0994,5
"Scott Stallings",69.3933333333333,0.626111111111111,0.0783333333333333,9
"Scottie Scheffler",68.9218181818182,0.378818181818182,0.392363636363636,11
"Seamus Power",69.1905714285714,0.863285714285714,0.249142857142857,7
"Sean O'Hair",70.392,0.2395,-0.184,2
"Sebastian Soderberg",70.153,1.208,-0.228,1
"Sebastián Muñoz",69.7474,0.0297,0.3985,10
"Sepp Straka",70.5096,0.5756,0.2471,10
"Sergio Garcia",70.906,0.826666666666667,0.884666666666667,3
"Seth Reeves",71.6753333333333,0.297666666666667,0.689666666666667,3
"Shane Lowry",69.1205714285714,0.134714285714286,0.349285714285714,7
"Shaun Norris",70.672,-0.243,-0.3,1
"Si Woo Kim",70.423,-0.108444444444444,0.414111111111111,9
"Stephan Jaeger",70.5213333333333,-0.0665,-0.619,6
"Stephen Stallings Jr.",70.76,3.947,0.097,1
"Stewart Cink",70.0102,0.0862,0.0984,5
"Stewart Hagestad",72.153,-0.8,-0.087,1
"Sung Kang",70.249,0.689,-0.0565,2
"Sungjae Im",69.6972222222222,0.370666666666667,0.608555555555556,9
"Talor Gooch",69.3248,0.0652,-0.0632,5
"Taylor Montgomery",69.847,1.788,0.691,1
"Taylor Moore",70.365375,0.376,0.330625,8
"Taylor Pendrith",70.0151666666667,-0.4655,0.7365,6
"Thomas Pieters",70.1763333333333,0.428666666666667,0.367,3
"Todd Sinnott",68.903,0.728,-0.767,1
"Tom Hoge",69.2997142857143,0.501428571428571,0.312142857142857,7
"Tom Kim",68.174,1.294,-0.0726666666666667,3
"Tommy Fleetwood",69.6898571428571,0.548142857142857,0.00542857142857144,7
"Tommy Gainey",70.584,0.528,-0.08,1
"Tony Finau",68.8968571428571,0.500142857142857,0.505285714285714,7
"Travis Vick",69.403,1.478,0.255,1
"Trey Mullinax",70.9048,-0.0846,0.2296,5
"Troy Merritt",70.5746666666667,0.742111111111111,0.0141111111111111,9
"Tyler Duncan",70.0548,-0.028,0.1264,5
"Tyrrell Hatton",69.231,0.923333333333333,-0.00666666666666667,6
"Vaughn Taylor",70.2653333333333,-0.0801666666666667,-0.086,6
"Viktor Hovland",69.4448333333333,0.572333333333333,0.659833333333333,6
"Vince Whaley",70.8283333333333,0.398333333333333,-0.0398333333333333,6
"Webb Simpson",69.1885,-0.072,0.431,4
"Wesley Bryan",72.217,0.488,-1.113,1
"Wil Besseling",70.653,-1.216,0.863,1
"Will Zalatoris",69.042,0.110888888888889,0.563111111111111,9
"William McGirt",69.9716666666667,0.381,-0.438333333333333,3
"Wyndham Clark",70.5238571428571,0.820571428571429,0.157714285714286,8
"Xander Schauffele",68.66175,0.539375,0.455125,8
"Yannik Paul",69.152,-0.381,0.789,1
"Zach Johnson",70.37,0.372142857142857,-0.356142857142857,7
